   1.000000      0.9000000    
   8.607995      4.3122318E-06  3.4563515E-02
   9.223632      3.6068379E-06  3.5566598E-02
   9.883298      3.0156518E-06  3.6584474E-02
   10.59014      2.5204079E-06  3.7617184E-02
   11.34754      2.1057126E-06  3.8664691E-02
   12.15911      1.7586117E-06  3.9726950E-02
   13.02872      1.4682082E-06  4.0804021E-02
   13.96053      1.2253378E-06  4.1895844E-02
   14.95897      1.0222985E-06  4.3002419E-02
   16.02883      8.5262315E-07  4.4123732E-02
   17.17520      7.1088186E-07  4.5259781E-02
   18.40357      5.9251670E-07  4.6410546E-02
   19.71978      4.9371050E-07  4.7576047E-02
   21.13012      4.1125790E-07  4.8756234E-02
   22.64133      3.4247520E-07  4.9951091E-02
   24.26063      2.8511528E-07  5.1160682E-02
   25.99573      2.3729599E-07  5.2384909E-02
   27.85492      1.9744317E-07  5.3623822E-02
   29.84708      1.6423967E-07  5.4877408E-02
   31.98173      1.3658425E-07  5.6145657E-02
   34.26904      1.1355660E-07  5.7428550E-02
   36.71993      9.4387772E-08  5.8726087E-02
   39.34611      7.8435519E-08  6.0038246E-02
   42.16011      6.5163782E-08  6.1365101E-02
   45.17537      5.4125007E-08  6.2706552E-02
   48.40628      4.4945860E-08  6.4062618E-02
   51.86831      3.7314937E-08  6.5433323E-02
   55.57790      3.0972853E-08  6.6818602E-02
   59.55278      2.5703171E-08  6.8218589E-02
   63.81195      2.1325519E-08  6.9633082E-02
   68.37573      1.7689798E-08  7.1062222E-02
   73.26591      1.4670933E-08  7.2505921E-02
   78.50584      1.2164837E-08  7.3964275E-02
   84.12051      1.0084860E-08  7.5437188E-02
   90.13675      8.3589242E-09  7.6924719E-02
   96.58327      6.9270603E-09  7.8426793E-02
   103.4908      5.7394147E-09  7.9943463E-02
   110.8924      4.7545314E-09  8.1474744E-02
   118.8233      3.9379535E-09  8.3020583E-02
   127.3215      3.2610528E-09  8.4581032E-02
   136.4274      2.7000420E-09  8.6156011E-02
   146.1846      2.2351689E-09  8.7745599E-02
   156.6396      1.8500280E-09  8.9349732E-02
   167.8425      1.5309987E-09  9.0968452E-02
   179.8465      1.2667858E-09  9.2601746E-02
   192.7090      1.0480057E-09  9.4249606E-02
   206.4914      8.6687646E-10  9.5912009E-02
   221.2595      7.1694362E-10  9.7588986E-02
   237.0838      5.9285515E-10  9.9280573E-02
   254.0399      4.9017168E-10  0.1009866    
   272.2086      4.0521531E-10  0.1027073    
   291.6768      3.3493597E-10  0.1044425    
   312.5373      2.7680735E-10  0.1061923    
   334.8897      2.2873570E-10  0.1079566    
   358.8408      1.8898698E-10  0.1097355    
   384.5048      1.5612492E-10  0.1115289    
   412.0043      1.2896038E-10  0.1133369    
   441.4705      1.0650864E-10  0.1151595    
   473.0446      8.7954290E-11  0.1169966    
   506.8764      7.2623428E-11  0.1188482    
   543.1278      5.9957463E-11  0.1207144    
   581.9719      4.9494586E-11  0.1225952    
   623.5941      4.0852662E-11  0.1244905    
   668.1930      3.3715725E-11  0.1264003    
   715.9817      2.7822409E-11  0.1283247    
   767.1882      2.2956604E-11  0.1302637    
   822.0568      1.8939671E-11  0.1322172    
   880.8498      1.5623891E-11  0.1341852    
   943.8475      1.2887210E-11  0.1361677    
   1011.351      1.0628764E-11  0.1381650    
   1083.682      8.7651700E-12  0.1401766    
   1161.186      7.2275827E-12  0.1422028    
   1244.233      5.9591130E-12  0.1442436    
   1333.219      0.0000000E+00  0.0000000E+00
   1428.570      0.0000000E+00  0.0000000E+00
